Time,Heart,Cog,EyeY,EyeP,EyeR,HeadY,HeadP,HeadR,FullY,FullP,FullR
27.9962, 55, 0.000,    0.26,    3.54,    0.01,   10.50,    0.14,   -0.67,   10.72,    3.68,   -0.66
28.0959, 55, 0.000,    1.52,    3.53,    0.05,   10.45,    0.19,   -0.65,   11.94,    3.73,   -0.59
28.1969, 55, 0.000,    0.83,    3.54,    0.03,   10.53,    0.20,   -0.61,   11.32,    3.75,   -0.58
28.2969, 55, 0.000,    0.65,    3.56,    0.02,   10.54,    0.17,   -0.59,   11.16,    3.74,   -0.57
28.3961, 55, 0.000,    0.69,    3.62,    0.02,   10.45,    0.12,   -0.58,   11.10,    3.75,   -0.55
28.4962, 55, 0.000,    0.49,    3.59,    0.02,   10.41,    0.13,   -0.54,   10.87,    3.73,   -0.53
28.5961, 55, 0.000,    3.19,    3.44,    0.10,   10.38,    0.05,   -0.54,   13.54,    3.51,   -0.44
28.6964, 55, 0.000,    0.84,    3.62,    0.03,   10.40,    0.03,   -0.61,   11.20,    3.66,   -0.58
28.7961, 55, 0.000,    0.70,    3.66,    0.02,   10.43,    0.06,   -0.63,   11.09,    3.73,   -0.61
28.8960, 55, 0.000,    0.46,    3.70,    0.01,   10.33,    0.05,   -0.58,   10.75,    3.76,   -0.57
28.9967, 55, 0.000,    1.12,    3.67,    0.04,   10.31,    0.02,   -0.56,   11.39,    3.70,   -0.53
29.0961, 55, 0.000,    0.58,    3.74,    0.02,   10.38,    0.04,   -0.55,   10.93,    3.78,   -0.53
29.1960, 55, 0.000,    0.87,    3.69,    0.03,   10.37,    0.03,   -0.59,   11.20,    3.74,   -0.56
29.2967, 55, 0.000,    0.69,    3.64,    0.02,   10.35,    0.06,   -0.60,   11.00,    3.70,   -0.58
29.3961, 55, 0.000,    0.82,    3.69,    0.03,   10.31,   -0.00,   -0.58,   11.10,    3.70,   -0.56
29.4960, 55, 0.000,    0.56,    3.72,    0.02,   10.30,   -0.13,   -0.57,   10.82,    3.59,   -0.55
29.5961, 53, 0.000,    1.46,    3.75,    0.05,   10.28,   -0.18,   -0.57,   11.71,    3.58,   -0.53
29.6960, 53, 0.000,    0.45,    3.89,    0.02,   10.25,   -0.14,   -0.60,   10.66,    3.76,   -0.59
29.7960, 53, 0.000,    0.60,    3.80,    0.02,   10.24,   -0.12,   -0.66,   10.79,    3.68,   -0.64
29.8973, 53, 0.000,    1.41,    3.67,    0.05,   10.24,   -0.32,   -0.69,   11.61,    3.37,   -0.65
29.9974, 53, 0.000,   -0.37,    4.00,   -0.01,   10.18,   -0.33,   -0.71,    9.76,    3.66,   -0.72
30.0972, 53, 0.000,    0.25,    3.97,    0.01,   10.19,   -0.34,   -0.70,   10.39,    3.63,   -0.70
30.1966, 53, 0.000,    0.51,    3.88,    0.02,   10.25,   -0.41,   -0.70,   10.71,    3.47,   -0.68
30.2975, 53, 0.000,   -0.32,    3.91,   -0.01,   10.29,   -0.44,   -0.67,    9.92,    3.47,   -0.68
30.3870, 53, 0.000,    0.54,    3.87,    0.02,   10.36,   -0.44,   -0.63,   10.86,    3.44,   -0.62
30.4870, 53, 0.000,    0.18,    4.00,    0.01,   10.52,   -0.49,   -0.60,   10.66,    3.51,   -0.60
30.5972, 53, 0.000,   -0.86,    4.24,   -0.03,   10.51,   -0.41,   -0.53,    9.61,    3.83,   -0.56
30.6869, 53, 0.000,   -0.08,    3.94,   -0.00,   10.38,   -0.30,   -0.50,   10.26,    3.63,   -0.50
30.7973, 53, 0.000,   -0.26,    3.94,   -0.01,   10.48,   -0.34,   -0.48,   10.19,    3.59,   -0.49
30.8870, 53, 0.000,    0.34,    3.94,    0.01,   10.54,   -0.41,   -0.53,   10.84,    3.52,   -0.52
30.9981, 53, 0.000,    0.71,    3.75,    0.02,   10.53,   -0.42,   -0.61,   11.20,    3.34,   -0.59
31.0979, 53, 0.000,    0.47,    3.96,    0.02,   10.53,   -0.39,   -0.65,   10.96,    3.58,   -0.63
31.1975, 53, 0.000,   -0.01,    4.02,   -0.00,   10.54,   -0.38,   -0.64,   10.48,    3.63,   -0.65
31.2980, 53, 0.000,    0.02,    4.06,    0.00,   10.47,   -0.54,   -0.61,   10.44,    3.52,   -0.61
31.3978, 53, 0.000,   -4.28,    4.51,   -0.17,   10.48,   -0.49,   -0.61,    6.15,    3.97,   -0.74
31.4981, 53, 0.000,   -0.10,    3.94,   -0.00,   10.49,   -0.42,   -0.62,   10.35,    3.52,   -0.62
31.5869, 53, 0.000,    0.09,    3.96,    0.00,   10.44,   -0.50,   -0.65,   10.48,    3.46,   -0.65
31.6978, 53, 0.000,   -0.54,    3.92,   -0.02,   10.36,   -0.48,   -0.68,    9.77,    3.44,   -0.69
31.7971, 53, 0.000,    0.43,    3.83,    0.01,   10.39,   -0.50,   -0.67,   10.77,    3.34,   -0.66
31.8980, 53, 0.000,    0.35,    3.93,    0.01,   10.51,   -0.51,   -0.67,   10.82,    3.42,   -0.66
31.9981, 53, 0.000,    0.43,    3.96,    0.02,   10.46,   -0.49,   -0.68,   10.84,    3.48,   -0.67
32.0869, 53, 0.000,   -3.46,    4.23,   -0.13,   10.37,   -0.50,   -0.67,    6.86,    3.69,   -0.77
32.1869, 53, 0.000,    0.09,    3.91,    0.00,   10.38,   -0.50,   -0.64,   10.42,    3.42,   -0.64
32.2973, 53, 0.000,    0.23,    3.81,    0.01,   10.26,   -0.52,   -0.59,   10.45,    3.29,   -0.59
32.3973, 53, 0.000,    0.29,    3.80,    0.01,   10.09,   -0.51,   -0.62,   10.34,    3.30,   -0.61
32.4981, 53, 0.000,    0.79,    3.78,    0.03,   10.10,   -0.49,   -0.60,   10.85,    3.30,   -0.59
32.5979, 53, 0.000,    0.39,    3.84,    0.01,   10.15,   -0.59,   -0.59,   10.50,    3.26,   -0.58
32.6977, 53, 0.000,    0.25,    3.78,    0.01,   10.15,   -0.55,   -0.64,   10.36,    3.23,   -0.63
32.7973, 53, 0.000,    0.59,    3.83,    0.02,   10.12,   -0.55,   -0.63,   10.67,    3.29,   -0.62
32.8869, 53, 0.000,   -0.50,    3.90,   -0.02,   10.05,   -0.60,   -0.60,    9.50,    3.29,   -0.62
32.9972, 53, 0.000,    0.80,    3.84,    0.03,   10.04,   -0.52,   -0.56,   10.80,    3.33,   -0.54
33.0869, 53, 0.000,    0.74,    3.87,    0.02,   10.10,   -0.50,   -0.56,   10.80,    3.38,   -0.54
33.1980, 53, 0.000,    0.38,    4.00,    0.01,   10.10,   -0.51,   -0.57,   10.44,    3.50,   -0.56
33.2870, 53, 0.000,    0.36,    3.89,    0.01,   10.06,   -0.50,   -0.52,   10.39,    3.39,   -0.51
33.3980, 53, 0.000,    0.68,    3.93,    0.02,   10.00,   -0.50,   -0.47,   10.65,    3.44,   -0.46
33.4976, 53, 0.000,    0.55,    3.82,    0.02,    9.98,   -0.56,   -0.45,   10.50,    3.26,   -0.44
33.5972, 53, 0.000,    0.79,    4.07,    0.03,    9.96,   -0.62,   -0.46,   10.71,    3.46,   -0.44
33.6972, 53, 0.000,   -0.29,    4.06,   -0.01,    9.99,   -0.64,   -0.48,    9.66,    3.42,   -0.49
33.7977, 53, 0.000,    0.57,    3.94,    0.02,   10.00,   -0.64,   -0.51,   10.53,    3.31,   -0.49
33.8972, 53, 0.000,   -3.36,    4.24,   -0.12,   10.01,   -0.67,   -0.52,    6.62,    3.54,   -0.60
33.9976, 53, 0.000,    0.51,    3.99,    0.02,    9.99,   -0.64,   -0.52,   10.46,    3.36,   -0.51
34.0980, 53, 0.000,   -0.14,    3.98,   -0.00,    9.98,   -0.56,   -0.52,    9.81,    3.41,   -0.53
34.1975, 53, 0.000,    0.72,    3.97,    0.02,   10.00,   -0.51,   -0.51,   10.69,    3.47,   -0.49
34.2870, 53, 0.000,    0.53,    4.00,    0.02,    9.99,   -0.58,   -0.51,   10.48,    3.43,   -0.50
34.3980, 53, 0.000,    6.56,    3.43,    0.20,   10.00,   -0.51,   -0.48,   16.53,    2.98,   -0.34
34.4978, 53, 0.000,    0.67,    3.87,    0.02,   10.03,   -0.55,   -0.48,   10.67,    3.32,   -0.47
34.5980, 50, 0.000,    0.01,    3.91,    0.00,   10.04,   -0.57,   -0.46,   10.02,    3.34,   -0.46
34.6980, 50, 0.000,    0.48,    3.95,    0.02,    9.99,   -0.54,   -0.44,   10.44,    3.41,   -0.43
34.7976, 50, 0.000,    0.44,    3.96,    0.02,   10.02,   -0.55,   -0.42,   10.43,    3.41,   -0.41
34.8976, 50, 0.000,    5.64,    3.33,    0.16,   10.01,   -0.57,   -0.41,   15.62,    2.81,   -0.30
34.9970, 50, 0.000,    1.25,    3.86,    0.04,    9.95,   -0.59,   -0.40,   11.18,    3.28,   -0.38
35.0976, 50, 0.000,    8.44,    3.49,    0.26,    9.96,   -0.57,   -0.40,   18.36,    2.99,   -0.23
35.1979, 50, 0.000,    7.93,    3.20,    0.22,   10.02,   -0.60,   -0.42,   17.92,    2.66,   -0.28
35.2977, 50, 0.000,    0.64,    3.75,    0.02,   10.01,   -0.68,   -0.45,   10.62,    3.08,   -0.44
35.3977, 50, 0.000,    0.86,    3.71,    0.03,   10.12,   -0.54,   -0.49,   10.95,    3.18,   -0.47
35.4976, 50, 0.000,    0.66,    3.61,    0.02,   10.18,   -0.48,   -0.50,   10.81,    3.14,   -0.49
35.5976, 50, 0.000,    1.06,    3.54,    0.03,    9.99,   -0.59,   -0.47,   11.02,    2.95,   -0.45
35.6980, 50, 0.000,    1.96,    3.40,    0.06,    9.92,   -0.56,   -0.40,   11.86,    2.85,   -0.36
35.7979, 50, 0.000,    1.36,    3.94,    0.05,    9.91,   -0.48,   -0.41,   11.23,    3.47,   -0.38
35.8971, 50, 0.000,    1.10,    3.95,    0.04,    9.92,   -0.48,   -0.42,   10.99,    3.47,   -0.39
35.9977, 50, 0.000,   -1.76,    4.16,   -0.06,    9.96,   -0.47,   -0.44,    8.18,    3.67,   -0.49
36.0970, 50, 0.000,    0.92,    3.83,    0.03,    9.95,   -0.53,   -0.41,   10.84,    3.30,   -0.39
36.1976, 50, 0.000,    1.17,    3.83,    0.04,    9.96,   -0.58,   -0.41,   11.10,    3.26,   -0.38
36.2976, 50, 0.000,    0.40,    3.85,    0.01,   10.02,   -0.59,   -0.43,   10.39,    3.26,   -0.42
36.3976, 50, 0.000,    0.81,    3.86,    0.03,   10.04,   -0.58,   -0.49,   10.82,    3.28,   -0.47
36.4975, 50, 0.000,    0.41,    4.00,    0.01,   10.08,   -0.60,   -0.53,   10.46,    3.41,   -0.52
36.5976, 50, 0.000,    0.39,    4.16,    0.01,   10.15,   -0.63,   -0.55,   10.50,    3.53,   -0.54
36.6977, 50, 0.000,    0.92,    4.06,    0.03,   10.08,   -0.69,   -0.54,   10.96,    3.39,   -0.52
36.7975, 50, 0.000,    0.68,    4.12,    0.02,   10.04,   -0.66,   -0.56,   10.69,    3.48,   -0.54
36.8976, 50, 0.000,   -1.59,    4.49,   -0.06,   10.03,   -0.70,   -0.53,    8.40,    3.78,   -0.58
36.9975, 50, 0.000,    0.78,    4.31,    0.03,    9.99,   -0.78,   -0.51,   10.73,    3.54,   -0.50
37.0969, 50, 0.000,    1.68,    4.16,    0.06,    9.96,   -0.67,   -0.47,   11.60,    3.50,   -0.43
37.1970, 50, 0.000,    1.30,    4.24,    0.05,    9.93,   -0.67,   -0.45,   11.20,    3.58,   -0.42
37.2971, 50, 0.000,    0.94,    4.28,    0.04,    9.89,   -0.64,   -0.44,   10.79,    3.65,   -0.42
37.3976, 50, 0.000,    1.05,    4.09,    0.04,    9.87,   -0.57,   -0.39,   10.89,    3.53,   -0.37
37.4968, 50, 0.000,    1.82,    3.96,    0.06,    9.82,   -0.51,   -0.37,   11.61,    3.46,   -0.33
37.5975, 50, 0.000,    1.52,    3.88,    0.05,    9.85,   -0.54,   -0.38,   11.34,    3.35,   -0.34
37.6974, 50, 0.000,    1.18,    4.15,    0.04,    9.82,   -0.59,   -0.37,   10.97,    3.57,   -0.34
37.7971, 50, 0.000,    1.20,    4.09,    0.04,    9.74,   -0.62,   -0.37,   10.91,    3.49,   -0.34
37.8971, 50, 0.000,    1.33,    4.10,    0.05,    9.72,   -0.62,   -0.38,   11.03,    3.49,   -0.35
37.9970, 50, 0.000,    0.98,    4.05,    0.03,    9.80,   -0.61,   -0.39,   10.74,    3.45,   -0.37
38.0978, 50, 0.000,    2.20,    3.96,    0.08,    9.80,   -0.64,   -0.41,   11.97,    3.34,   -0.36
38.1968, 50, 0.000,    0.71,    4.09,    0.03,    9.82,   -0.59,   -0.47,   10.50,    3.51,   -0.45
38.2968, 50, 0.000,    2.28,    3.82,    0.08,    9.91,   -0.57,   -0.51,   12.15,    3.27,   -0.46
38.3971, 50, 0.000,    0.74,    4.00,    0.03,    9.89,   -0.68,   -0.54,   10.59,    3.33,   -0.52
38.4972, 50, 0.000,    0.99,    4.08,    0.04,    9.89,   -0.68,   -0.54,   10.84,    3.42,   -0.52
38.5974, 50, 0.000,    0.58,    4.24,    0.02,    9.88,   -0.68,   -0.55,   10.42,    3.56,   -0.54
38.6977, 50, 0.000,    0.77,    4.20,    0.03,    9.87,   -0.66,   -0.52,   10.60,    3.54,   -0.50
38.7969, 50, 0.000,    1.03,    4.20,    0.04,    9.83,   -0.62,   -0.48,   10.83,    3.58,   -0.45
38.8976, 50, 0.000,    1.31,    4.14,    0.05,    9.86,   -0.59,   -0.45,   11.14,    3.55,   -0.42
38.9970, 50, 0.000,    0.69,    4.07,    0.02,    9.89,   -0.62,   -0.46,   10.55,    3.45,   -0.44
39.0974, 50, 0.000,    0.67,    4.08,    0.02,    9.90,   -0.62,   -0.48,   10.53,    3.47,   -0.46
39.1969, 50, 0.000,    5.17,    3.37,    0.15,    9.93,   -0.62,   -0.50,   15.08,    2.80,   -0.40
39.2973, 50, 0.000,    1.29,    4.06,    0.05,    9.96,   -0.62,   -0.54,   11.21,    3.45,   -0.51
39.3968, 50, 0.000,    1.00,    4.08,    0.04,    9.97,   -0.68,   -0.56,   10.93,    3.41,   -0.53
39.4975, 50, 0.000,    0.17,    4.32,    0.01,    9.93,   -0.66,   -0.58,   10.06,    3.66,   -0.58
39.5975, 46, 0.000,    0.75,    4.24,    0.03,    9.97,   -0.65,   -0.60,   10.67,    3.60,   -0.58
39.6975, 46, 0.000,    0.91,    4.14,    0.03,    9.93,   -0.68,   -0.57,   10.80,    3.47,   -0.54
39.7976, 46, 0.000,    3.35,    3.82,    0.11,    9.88,   -0.73,   -0.52,   13.19,    3.11,   -0.45
39.8968, 46, 0.000,    1.01,    4.09,    0.04,    9.87,   -0.69,   -0.47,   10.84,    3.41,   -0.45
39.9974, 46, 0.000,    0.85,    4.17,    0.03,    9.89,   -0.71,   -0.47,   10.70,    3.46,   -0.45
40.0975, 46, 0.000,    0.94,    4.12,    0.03,    9.87,   -0.70,   -0.46,   10.77,    3.43,   -0.44
40.1978, 46, 0.000,    0.62,    4.19,    0.02,    9.82,   -0.68,   -0.44,   10.41,    3.52,   -0.42
40.2975, 46, 0.000,    0.57,    4.17,    0.02,    9.87,   -0.71,   -0.44,   10.40,    3.46,   -0.43
40.3975, 46, 0.000,    0.51,    4.14,    0.02,    9.88,   -0.75,   -0.46,   10.36,    3.40,   -0.45
40.4977, 46, 0.000,    1.18,    4.12,    0.04,    9.88,   -0.76,   -0.48,   11.03,    3.37,   -0.46
40.5976, 46, 0.000,  135.00,   35.26,   75.00,    9.92,   -0.76,   -0.50,  144.78,   36.16,   74.77
40.6975, 46, 0.000,  135.00,   35.26,   75.00,    9.97,   -0.78,   -0.48,  144.82,   36.16,   74.74
40.7967, 46, 0.000,   -0.82,    4.15,   -0.03,    9.95,   -0.84,   -0.48,    9.10,    3.31,   -0.50
40.8971, 46, 0.000,    1.27,    4.05,    0.04,    9.97,   -0.83,   -0.51,   11.20,    3.24,   -0.48
40.9968, 46, 0.000,    1.14,    4.10,    0.04,   10.00,   -0.87,   -0.48,   11.11,    3.25,   -0.46
41.0969, 46, 0.000,  135.00,   35.26,   75.00,    9.94,   -1.03,   -0.43,  144.63,   36.30,   74.48
41.1975, 46, 0.000,  135.00,   35.26,   75.00,    9.93,   -0.98,   -0.38,  144.62,   36.22,   74.47
41.2974, 46, 0.000,    7.53,    2.84,    0.19,    9.91,   -0.97,   -0.35,   17.42,    1.92,   -0.28
41.3974, 46, 0.000,  135.00,   35.26,   75.00,    9.92,   -1.02,   -0.34,  144.57,   36.23,   74.41
41.4976, 46, 0.000,  135.00,   35.26,   75.00,    9.92,   -1.04,   -0.33,  144.56,   36.23,   74.38
41.5971, 46, 0.000,    1.44,    4.11,    0.05,    9.90,   -1.02,   -0.30,   11.32,    3.09,   -0.28
41.6976, 46, 0.000,   -0.04,    4.19,   -0.00,    9.94,   -1.06,   -0.32,    9.87,    3.13,   -0.32
41.7976, 46, 0.000,    1.32,    4.21,    0.05,    9.95,   -1.10,   -0.33,   11.25,    3.12,   -0.31
41.8976, 46, 0.000,    0.62,    4.38,    0.02,    9.92,   -1.10,   -0.32,   10.51,    3.28,   -0.31
41.9975, 46, 0.000,    1.40,    4.45,    0.05,    9.96,   -1.09,   -0.31,   11.32,    3.37,   -0.29
42.0977, 46, 0.000,    1.01,    4.50,    0.04,    9.95,   -1.11,   -0.33,   10.93,    3.40,   -0.31
42.1969, 46, 0.000,    0.39,    4.55,    0.02,    9.98,   -0.95,   -0.33,   10.35,    3.60,   -0.32
42.2975, 46, 0.000,    1.18,    4.54,    0.05,   10.10,   -0.89,   -0.32,   11.25,    3.66,   -0.29
42.3974, 46, 0.000,    0.90,    4.44,    0.03,   10.04,   -0.92,   -0.29,   10.91,    3.52,   -0.27
42.4976, 46, 0.000,    0.57,    4.49,    0.02,    9.99,   -0.83,   -0.23,   10.55,    3.67,   -0.22
42.5976, 46, 0.000,    1.06,    4.36,    0.04,    9.94,   -0.81,   -0.26,   10.98,    3.56,   -0.24
42.6975, 46, 0.000,    1.90,    4.14,    0.07,    9.90,   -0.77,   -0.30,   11.78,    3.38,   -0.25
42.7976, 46, 0.000,    1.38,    4.22,    0.05,    9.87,   -0.74,   -0.31,   11.22,    3.48,   -0.28
42.8966, 46, 0.000,    2.85,    4.02,    0.10,    9.88,   -0.76,   -0.31,   12.71,    3.28,   -0.25
42.9966, 46, 0.000,    0.71,    4.21,    0.03,    9.91,   -0.79,   -0.30,   10.60,    3.42,   -0.29
43.0968, 46, 0.000,    0.76,    4.22,    0.03,    9.85,   -0.82,   -0.33,   10.59,    3.41,   -0.32
43.1970, 46, 0.000,    1.43,    3.98,    0.05,    9.84,   -0.82,   -0.33,   11.24,    3.17,   -0.30
43.2971, 46, 0.000,    1.59,    4.08,    0.06,    9.87,   -0.81,   -0.32,   11.44,    3.28,   -0.29
43.3965, 46, 0.000,    0.35,    4.01,    0.01,    9.79,   -0.83,   -0.30,   10.12,    3.18,   -0.29
43.4973, 46, 0.000,  135.00,   35.26,   75.00,    9.81,   -0.77,   -0.34,  144.59,   36.04,   74.62
43.5966, 46, 0.000,  135.00,   35.26,   75.00,    9.86,   -0.76,   -0.31,  144.63,   36.02,   74.60
43.6966, 46, 0.000,   -1.58,    4.19,   -0.06,    9.78,   -0.85,   -0.28,    8.18,    3.33,   -0.32
43.7972, 46, 0.000,    2.33,    4.17,    0.09,    9.82,   -0.82,   -0.28,   12.13,    3.37,   -0.23
43.8965, 46, 0.000,    5.58,    3.78,    0.18,    9.88,   -0.83,   -0.32,   15.43,    2.98,   -0.21
43.9972, 46, 0.000,    0.76,    4.35,    0.03,    9.91,   -0.88,   -0.34,   10.64,    3.48,   -0.32
44.0968, 46, 0.000,    0.62,    4.51,    0.02,    9.87,   -0.87,   -0.32,   10.46,    3.64,   -0.30
44.1964, 46, 0.000,   -2.43,    5.01,   -0.11,    9.80,   -0.84,   -0.25,    7.36,    4.16,   -0.32
44.2964, 46, 0.000,    0.92,    4.49,    0.04,    9.80,   -0.85,   -0.20,   10.70,    3.64,   -0.18
44.3963, 46, 0.000,    0.93,    4.55,    0.04,    9.81,   -0.87,   -0.18,   10.73,    3.68,   -0.15
44.4972, 46, 0.000,    4.21,    3.93,    0.14,    9.78,   -0.85,   -0.17,   13.98,    3.10,   -0.08
44.5972, 45, 0.000,    2.80,    4.02,    0.10,    9.82,   -0.85,   -0.17,   12.60,    3.18,   -0.11
44.6963, 45, 0.000,    1.38,    4.17,    0.05,    9.80,   -0.92,   -0.16,   11.16,    3.25,   -0.13
44.7971, 45, 0.000,  135.00,   35.26,   75.00,    9.87,   -0.87,   -0.22,  144.53,   36.03,   74.43
44.8972, 45, 0.000,  135.00,   35.26,   75.00,    9.89,   -0.85,   -0.21,  144.56,   36.02,   74.44
44.9964, 45, 0.000,    3.95,    3.54,    0.12,    9.84,   -0.99,   -0.21,   13.77,    2.57,   -0.16
45.0971, 45, 0.000,    1.39,    4.07,    0.05,    9.87,   -0.92,   -0.20,   11.24,    3.15,   -0.17
45.1963, 45, 0.000,    2.78,    3.99,    0.10,    9.87,   -0.87,   -0.22,   12.63,    3.13,   -0.16
45.2970, 45, 0.000,    2.58,    4.18,    0.09,    9.92,   -0.85,   -0.25,   12.48,    3.34,   -0.19
45.3971, 45, 0.000,    7.12,    3.41,    0.21,    9.96,   -0.72,   -0.27,   17.06,    2.73,   -0.14
45.4971, 45, 0.000,    1.03,    4.32,    0.04,    9.96,   -0.63,   -0.25,   10.97,    3.70,   -0.23
45.5973, 45, 0.000,    0.68,    4.27,    0.03,    9.90,   -0.62,   -0.25,   10.55,    3.65,   -0.23
45.6970, 45, 0.000,    5.69,    3.30,    0.16,    9.94,   -0.67,   -0.24,   15.61,    2.66,   -0.14
45.7966, 45, 0.000,    0.97,    3.96,    0.03,    9.89,   -0.67,   -0.26,   10.83,    3.30,   -0.24
45.8972, 45, 0.000,   -3.69,    4.89,   -0.16,    9.92,   -0.67,   -0.26,    6.21,    4.20,   -0.37
45.9971, 45, 0.000,    1.04,    4.41,    0.04,    9.95,   -0.66,   -0.30,   10.97,    3.76,   -0.27
46.0963, 45, 0.000,    0.00,    4.26,    0.00,   10.00,   -0.65,   -0.31,    9.97,    3.61,   -0.31
46.1972, 45, 0.000,    1.57,    4.27,    0.06,    9.95,   -0.65,   -0.28,   11.50,    3.63,   -0.24
46.2963, 45, 0.000,    0.88,    4.42,    0.03,    9.90,   -0.70,   -0.29,   10.76,    3.73,   -0.26
46.3965, 45, 0.000,    0.82,    4.38,    0.03,    9.95,   -0.62,   -0.24,   10.75,    3.76,   -0.22
46.4962, 45, 0.000,    2.79,    4.68,    0.11,    9.92,   -0.65,   -0.26,   12.68,    4.05,   -0.18
46.5971, 45, 0.000,    2.79,    4.80,    0.12,    9.89,   -0.69,   -0.25,   12.66,    4.13,   -0.17
46.6970, 45, 0.000,    3.43,    4.71,    0.14,    9.87,   -0.70,   -0.23,   13.27,    4.03,   -0.13
46.7972, 45, 0.000,    4.68,    4.14,    0.17,    9.84,   -0.78,   -0.21,   14.50,    3.38,   -0.11
46.8965, 45, 0.000,    3.26,    4.33,    0.12,    9.84,   -0.89,   -0.22,   13.08,    3.45,   -0.15
46.9962, 45, 0.000,    7.93,    3.62,    0.25,    9.85,   -0.97,   -0.24,   17.76,    2.70,   -0.12
47.0963, 45, 0.000,    1.74,    4.47,    0.07,    9.85,   -0.96,   -0.26,   11.56,    3.51,   -0.22
47.1971, 45, 0.000,    0.67,    4.66,    0.03,    9.86,   -1.01,   -0.27,   10.50,    3.66,   -0.25
47.2962, 45, 0.000,    1.10,    4.64,    0.04,    9.84,   -1.04,   -0.30,   10.91,    3.60,   -0.28
47.3970, 45, 0.000,    0.40,    4.65,    0.02,    9.85,   -1.06,   -0.30,   10.22,    3.60,   -0.29
47.4966, 45, 0.000,    0.60,    4.63,    0.02,    9.86,   -1.02,   -0.28,   10.43,    3.61,   -0.27
47.5963, 45, 0.000,    0.80,    4.58,    0.03,    9.85,   -1.00,   -0.26,   10.62,    3.58,   -0.24
47.6971, 45, 0.000,    0.98,    4.44,    0.04,    9.89,   -0.96,   -0.29,   10.85,    3.49,   -0.27
47.7971, 45, 0.000,    0.75,    4.46,    0.03,    9.90,   -0.97,   -0.31,   10.62,    3.49,   -0.30
47.8964, 45, 0.000,    3.64,    4.07,    0.13,    9.85,   -0.91,   -0.28,   13.46,    3.18,   -0.21
47.9971, 45, 0.000,    0.16,    4.40,    0.01,    9.83,   -0.86,   -0.30,    9.97,    3.54,   -0.30
48.0964, 45, 0.000,    4.49,    3.91,    0.15,    9.88,   -0.89,   -0.30,   14.35,    3.04,   -0.22
48.1963, 45, 0.000,    1.08,    4.21,    0.04,    9.91,   -0.93,   -0.32,   10.96,    3.28,   -0.30
48.2962, 45, 0.000,    2.29,    4.05,    0.08,    9.81,   -0.92,   -0.33,   12.07,    3.14,   -0.28
48.3963, 45, 0.000,    0.31,    4.28,    0.01,    9.83,   -0.91,   -0.32,   10.11,    3.37,   -0.32
48.4971, 45, 0.000,    0.99,    4.22,    0.04,    9.85,   -0.93,   -0.35,   10.82,    3.30,   -0.33
48.5964, 45, 0.000,    6.03,    3.65,    0.19,    9.88,   -0.91,   -0.38,   15.89,    2.78,   -0.28
48.6963, 45, 0.000,    0.83,    3.96,    0.03,    9.94,   -0.83,   -0.40,   10.75,    3.13,   -0.38
48.7970, 45, 0.000,    1.12,    3.89,    0.04,   10.00,   -0.83,   -0.38,   11.09,    3.06,   -0.36
48.8962, 45, 0.000,    2.18,    3.88,    0.07,   10.00,   -0.88,   -0.38,   12.16,    3.02,   -0.34
48.9969, 45, 0.000,    0.75,    4.14,    0.03,    9.87,   -0.82,   -0.34,   10.60,    3.33,   -0.32
49.0972, 45, 0.000,   -0.25,    4.19,   -0.01,    9.92,   -0.83,   -0.37,    9.64,    3.36,   -0.38
49.1962, 45, 0.000,    2.36,    3.73,    0.08,    9.91,   -0.88,   -0.37,   12.24,    2.86,   -0.33
49.2963, 45, 0.000,   -0.39,    4.49,   -0.02,    9.77,   -0.88,   -0.34,    9.35,    3.60,   -0.35
49.3971, 45, 0.000,    1.34,    4.00,    0.05,    9.82,   -0.89,   -0.30,   11.13,    3.12,   -0.28
49.4966, 45, 0.000,    1.08,    4.06,    0.04,    9.87,   -0.91,   -0.31,   10.93,    3.15,   -0.29
49.5971, 45, 0.000,    0.73,    4.18,    0.03,    9.80,   -0.95,   -0.30,   10.51,    3.24,   -0.29
49.6965, 45, 0.000,    1.22,    3.79,    0.04,    9.85,   -0.96,   -0.31,   11.04,    2.84,   -0.29
49.7971, 45, 0.000,    1.46,    3.71,    0.05,    9.86,   -1.02,   -0.30,   11.30,    2.70,   -0.28
49.8964, 45, 0.000,    0.65,    4.13,    0.02,    9.82,   -1.01,   -0.32,   10.45,    3.12,   -0.31
49.9963, 45, 0.000,    2.52,    3.86,    0.08,    9.82,   -1.03,   -0.33,   12.32,    2.85,   -0.29
50.0971, 45, 0.000,    0.97,    4.11,    0.03,    9.73,   -1.08,   -0.28,   10.67,    3.03,   -0.26
50.1965, 45, 0.000,    1.13,    4.06,    0.04,    9.66,   -1.12,   -0.27,   10.77,    2.95,   -0.25
50.2971, 45, 0.000,    5.61,    3.10,    0.15,    9.74,   -1.12,   -0.29,   15.33,    2.02,   -0.25
50.3963, 45, 0.000,    1.62,    3.50,    0.05,    9.79,   -1.13,   -0.33,   11.40,    2.38,   -0.31
50.4971, 45, 0.000,    1.87,    3.39,    0.06,    9.71,   -1.09,   -0.30,   11.57,    2.31,   -0.28
50.5962, 45, 0.000,  135.00,   35.26,   75.00,    9.70,   -1.09,   -0.27,  144.27,   36.22,   74.28
50.6962, 45, 0.000,  135.00,   35.26,   75.00,    9.71,   -1.11,   -0.26,  144.28,   36.23,   74.25
